,userID,cuisine
0,U1001,American
1,U1002,Mexican
2,U1003,Mexican
3,U1004,Bakery
4,U1004,Breakfast-Brunch
5,U1004,Japanese
6,U1004,Contemporary
7,U1004,Mexican
8,U1004,Bagels
9,U1004,Cafe-Coffee_Shop
10,U1004,Continental-European
11,U1004,Cafeteria
12,U1005,American
13,U1006,Mexican
14,U1007,Family
15,U1008,Cafe-Coffee_Shop
16,U1008,Mexican
17,U1008,Juice
18,U1008,Hawaiian
19,U1008,Hot_Dogs
20,U1008,Latin_American
21,U1008,Korean
22,U1008,American
23,U1008,Cafeteria
24,U1008,Italian
25,U1009,Diner
26,U1009,Fast_Food
27,U1009,Family
28,U1009,Cafe-Coffee_Shop
29,U1009,Deli-Sandwiches
30,U1009,Cafeteria
31,U1009,Mexican
32,U1010,Mexican
33,U1011,Mexican
34,U1012,Latin_American
35,U1013,Japanese
36,U1014,Japanese
37,U1014,Fast_Food
38,U1015,Mexican
39,U1016,Cafe-Coffee_Shop
40,U1016,Contemporary
41,U1016,Regional
42,U1016,Fusion
43,U1016,Japanese
44,U1016,Portuguese
45,U1016,American
46,U1016,Indian-Pakistani
47,U1016,Eastern_European
48,U1016,Lebanese
49,U1016,Moroccan
50,U1016,Barbecue
51,U1016,Polynesian
52,U1016,Polish
53,U1017,Chinese
54,U1018,Mexican
55,U1019,Family
56,U1020,Mexican
57,U1021,Pizzeria
58,U1021,Regional
59,U1021,Chinese
60,U1021,Burgers
61,U1022,Mexican
62,U1023,Mexican
63,U1024,Afghan
64,U1025,Mexican
65,U1026,Mexican
66,U1027,Family
67,U1028,Mexican
68,U1029,Mexican
69,U1030,Mexican
70,U1031,Mexican
71,U1032,Mexican
72,U1033,Mexican
73,U1034,Mexican
74,U1035,Family
75,U1036,Mexican
76,U1037,Mexican
77,U1038,Mexican
78,U1039,Regional
79,U1040,Pizzeria
80,U1041,Contemporary
81,U1042,Mexican
82,U1043,Latin_American
83,U1044,Mexican
84,U1045,Middle_Eastern
85,U1045,Mexican
86,U1045,Mongolian
87,U1045,Moroccan
88,U1046,Bar
89,U1047,American
90,U1048,Mexican
91,U1049,Mexican
92,U1050,Mexican
93,U1051,Mexican
94,U1052,Bakery
95,U1053,Mexican
96,U1054,Mexican
97,U1055,Breakfast-Brunch
98,U1056,Mexican
99,U1057,American
100,U1058,Cuban
101,U1059,Mexican
102,U1060,Burgers
103,U1060,Cafeteria
104,U1060,Pizzeria
105,U1060,Juice
106,U1060,American
107,U1060,Tex-Mex
108,U1060,Spanish
109,U1060,Mexican
110,U1060,Fast_Food
111,U1060,Cafe-Coffee_Shop
112,U1060,Soup
113,U1060,Hot_Dogs
114,U1060,Italian
115,U1061,Mexican
116,U1062,Mexican
117,U1063,Mexican
118,U1064,Mexican
119,U1065,Mexican
120,U1066,Mexican
121,U1067,Mexican
122,U1068,Mexican
123,U1069,Mexican
124,U1070,Mexican
125,U1071,Mexican
126,U1072,Mexican
127,U1073,American
128,U1074,Sushi
129,U1075,Mexican
130,U1076,Mexican
131,U1077,Mexican
132,U1078,Mexican
133,U1079,Mexican
134,U1080,Mexican
135,U1081,Mexican
136,U1082,Mexican
137,U1083,Mexican
138,U1084,Mexican
139,U1085,Mexican
140,U1086,Italian
141,U1087,Chinese
142,U1088,Mexican
143,U1089,Mexican
144,U1090,Tex-Mex
145,U1091,American
146,U1091,Mexican
147,U1092,Game
148,U1093,Japanese
149,U1094,Mexican
150,U1095,Italian
151,U1096,Mexican
152,U1097,Mexican
153,U1098,Mexican
154,U1099,Mexican
155,U1100,Mexican
156,U1101,Chinese
157,U1101,Italian
158,U1101,Doughnuts
159,U1101,Afghan
160,U1101,Mexican
161,U1101,Burgers
162,U1101,Latin_American
163,U1101,Contemporary
164,U1101,Cafe-Coffee_Shop
165,U1101,Family
166,U1101,Cafeteria
167,U1101,Bar
168,U1101,Australian
169,U1101,Hot_Dogs
170,U1101,Diner
171,U1102,Pizzeria
